MAKE,MODEL,SERIAL,COST,CC,COSMETICGRADEC,COSMETICFLAWS,CGRADEDAMAGE,PROCESSOR,STORAGE,MEMORY,GRAPHICS,SCREENSIZEC,PROCGEN,RESOLUTIONC,BATTERYPRESENT,BATHEALTH,MEMSLOTS,PWPROTECTED,SCREENFLAWS,MONITORSHAPE,MONITORINPUTS,SCREENSIZEM,COSMETICGRADEM,RESOLUTIONM,POID,SOID,CCDATE,RECEIVEDATE,INVOICEDATE,LASTUPDATE,UPDATEBY,WAREHOUSE,LOCATION,WSGRADE,WSFAILS,MONITORFAILS,FUNCTIONALFAILS
DELL,OPTIPLEX 3010,fccqtw1,$60,4B,B,,,,,,Unknown,,,,YES,,,,,,,in.,,,1040-40,0-0,3/30/2020,3/13/2020,12/31/1899,9/16/2021,CR,TP,W2-2-1-B,B,,,
LENOVO,THINKCENTRE M92P,MJ52G4R,$94,8B,A,,,,,,Unknown,,,,YES,,,,,,,in.,,,1069-9,0-0,7/26/2021,3/16/2020,12/31/1899,9/7/2021,NL,TP,REPAIR,D,,,Will Not Boot
LENOVO,THINKPAD T550,R90JX1AD,$161,8B,C,,,,,,Unknown,,,,YES,,,,,,,in.,,,1069-124,0-0,5/11/2020,3/17/2020,12/31/1899,12/9/2021,CR,CLOSEOUT,R1-1-5-B,D,,,Bad LCD
DELL,E2216H,flp7jp2,$20,4C,,,,,,,Unknown,,,,YES,,,,MINOR SCUFFS,Wide,VGA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DISPLAY,22in.,C,,2266-21,0-0,10/14/2020,10/7/2020,12/31/1899,9/23/2021,CR,eBay,w4-2-2-a,C,,LIGHT/DARK SPOT(S),
DELL,OPTIPLEX 9030 AIO I7 T,8344R52,$177.99,4B-,B-,Scratches On Screen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Scuffs Minor,,,,,Unknown,,GEN 4,,NO,N/A,,,,,,in.,,,2293-4,0-0,10/15/2020,10/15/2020,12/31/1899,1/19/2021,RJ,LEGACY,TEST,B,,,
DELL,LATITUDE E5520 I7,30PR5S1,$65,4B,C,Broken Latch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Dent(s) Minor,,,,,Unknown,,GEN 2,,YES,3 (Fair Health  40-59%),,,,,,in.,,,2308-6,0-0,10/21/2020,10/19/2020,12/31/1899,12/17/2021,PT,TP,R2-1-3-D,B,BROKEN LATCH; ,,
DELL,LATITUDE E5520 I7,30QB4S1,$65,4B,"B,",Broken Latch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Dent(s) Minor,,Intel(R) Core(TM) i7-2620M CPU @ 2.70GH,250 GB HDD,4 GB,,"15.6""",GEN 2,1366 x 768,YES,3 (Fair Health  40-59%),2,,,,,in.,,,2308-8,0-0,10/21/2020,10/19/2020,12/31/1899,12/17/2021,PT,TP,R2-1-3-D,B,BROKEN LATCH; ,,
LENOVO,THINKCENTRE M715Q TINY A10,mj05mhwr,$88.45,4A,A,,,,,,Unknown,,,,YES,,,,,,,in.,,,1223-4,0-0,4/7/2020,6/19/2020,12/31/1899,9/15/2021,LT,TP,r1-1-1-a,A,,,
HP,ELITEBOOK 1020 G1,5CG60918BC,$22,8B,,,,,,,Unknown,,,,YES,,,,,,,in.,,,1257-116,0-0,12/16/2021,4/14/2020,12/31/1899,9/14/2021,JF,eBay,BOX-1001,D,,,
SAMSUNG,S27E650D,zzgyh4zh900547w,$65,4B-,,,,,,,Unknown,,,,YES,,,,MINOR SCUFFS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;BAD PIXEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;MINOR SCRATCHES,Wide,DISPLAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;DVI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;VGA,27in.,B,,1281-15,0-0,9/23/2021,4/27/2020,12/31/1899,9/23/2021,AJ,TP,PICKED SO#4398,B,,,
LENOVO,THINKCENTRE E73 SFF I3,1S10AU00ESUSPC0699U1,$45,0B,B,Scuffs Minor,,,,,Unknown,,,,YES,,,,,,,in.,,,2430-121,0-0,11/10/2020,11/18/2020,12/31/1899,9/16/2021,CR,EV1,W2-1-1-A,B,,,
LENOVO,THINKCENTRE E73 SFF I5,1S10AU00EUUSPC09UYS5,$78.59,0B,B,Scuffs Minor,,,,,Unknown,,,,YES,,,,,,,in.,,,2430-134,0-0,11/10/2020,11/18/2020,12/31/1899,9/16/2021,CR,LEGACY,W2-1-1-A,B,,,
HP,PROBOOK 430 G2 I5,cnd4386z4d,$153,8C,C,,Minor Cracks,Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,256 GB SSD,8 GB,,"13.3""",GEN 4,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,2443-95,0-0,12/16/2021,11/11/2020,12/31/1899,9/8/2021,LT,eBay,BOX-1001,D,,,
DELL,LATITUDE E5450 I5,71sqr32,$135,4B-,B,Shiny Keys                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Worn Palmrest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Scuffs Minor,,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,500 GB SSD,8 GB,,"14.0""",GEN 5,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,2559-3,0-0,11/24/2020,11/24/2020,12/31/1899,12/17/2021,PT,TP,R2-1-6-E,B,,,
LENOVO,THINKPAD X1 CARBON (G2) I5,1S20a7002jusr901pyel,$130,4B-,B-,,,Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz,256 GB SSD,4 GB,,"14.0""",GEN 4,1440 x 900,YES,2 (Good Health 60-79%),2,,,,,in.,,,2568-31,0-0,11/19/2020,12/10/2020,12/31/1899,9/15/2021,LT,TP,R1-1-5-B,B,,,
LENOVO,THINKPAD T400,R8G5816,$53,5C,C,,,,,,Unknown,14 in,,,YES,5 (Bad Health 0-20%),,,,,,in.,,,1069-617,0-0,7/20/2020,3/20/2020,12/31/1899,9/13/2021,JF,CLOSEOUT,WHOLESALE SORT,C,,,Bad Battery
